Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-30 18:40:37,false,"Oslo Running","18.61","1,319","01:50:02","0","0","--","169","184","5:55","5:12","408","373","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:17.69.8","6","0.0","01:49:42","01:50:02","75","219"
Running,2022-10-28 18:19:47,false,"Oslo Running","15.11","1,080","01:34:00","0","0","--","167","184","6:13","5:00","166","169","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:55.82.8","3","0.0","01:33:55","01:34:00","103","208"
Running,2022-10-27 17:19:53,false,"Oslo Running","16.90","1,196","01:39:09","0","0","--","170","190","5:52","4:49","353","353","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:05.31.9","4","0.0","01:39:02","01:42:33","110","206"
Running,2022-10-09 18:36:41,false,"Soria Running","16.98","1,196","01:44:06","0","0","--","171","192","6:08","4:02","235","196","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","49:40.15.2","2","0.0","01:38:07","01:45:44","1,001","1,063"
Running,2022-10-04 13:52:49,false,"Oslo Running","15.00","1,067","01:31:04","0","0","--","168","182","6:04","4:31","2,894","2,894","0.98","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:53.84.2","4","0.0","01:30:48","01:31:06","108","481"
Running,2022-10-02 20:24:43,false,"Oslo Running","10.51","750","01:06:10","0","0","--","167","180","6:18","5:22","215","214","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:20.09.9","2","0.0","01:06:04","01:06:10","110","206"
Running,2022-10-01 20:11:32,false,"Oslo Running","13.73","985","01:26:46","0","0","--","164","180","6:19","5:35","274","273","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","20:17.69.1","4","0.0","01:26:46","01:26:46","110","206"
Running,2022-08-10 15:08:11,false,"Oslo Running","13.02","919","01:14:49","0","0","--","168","190","5:45","4:51","343","344","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.63.3","5","0.0","01:14:39","01:17:29","179","206"
Running,2022-08-09 15:31:53,false,"Oslo Running","20.00","1,414","01:57:34","0","0","--","169","192","5:53","4:32","456","454","1.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:55.85.7","5","0.0","01:57:25","01:58:30","110","206"
Running,2022-08-08 11:51:20,false,"Oslo Running","20.01","1,419","01:56:27","0","0","--","169","188","5:49","4:59","463","454","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:39.72.4","6","0.0","01:56:17","01:57:09","110","206"
