Date,Distance
2001-08-01 00:00,1000
2002-08-01 00:00,1000
2003-08-01 00:00,1000
2004-08-01 00:00,800
2005-08-01 00:00,1000
2006-08-01 00:00,800
2007-08-01 00:00,0
2008-08-01 00:00,400
2009-08-01 00:00,700
2010-08-01 00:00,900
2011-08-01 00:00,1200
2012-08-01 00:00,1200
2013-08-01 00:00,1200
2014-08-01 00:00,1200
2015-08-01 00:00,1200
2016-08-01 00:00,1200
2017-08-01 00:00,1200
2018-08-01 00:00,1200
2019-08-01 00:00,1200
2020-08-01 00:00,1200
2021-08-01 00:00,1200
2021-11-01 00:00,104.53
2021-12-01 00:00,100.22
2022-01-01 00:00,132.79
2022-02-01 00:00,132.91
2022-03-01 00:00,131.11
2022-04-01 00:00,94.36
2022-05-01 00:00,152.04
2022-06-01 00:00,160.52
2022-07-01 00:00,151.88
2022-08-01 00:00,150.42
2022-09-01 00:00,127.75
2022-10-01 00:00,115.81

2022-11-04,35
